wl,n
0.22543,0.12397
0.22584,0.12431
0.22625,0.12466
0.22666,0.12500
0.22708,0.12534
0.22749,0.12569
0.22791,0.12603
0.22833,0.12638
0.22875,0.12673
0.22918,0.12708
0.22960,0.12743
0.23003,0.12778
0.23045,0.12814
0.23088,0.12849
0.23131,0.12885
0.23175,0.12922
0.23218,0.12958
0.23262,0.12995
0.23305,0.13031
0.23349,0.13068
0.23393,0.13105
0.23437,0.13143
0.23482,0.13180
0.23526,0.13218
0.23571,0.13256
0.23616,0.13294
0.23661,0.13332
0.23706,0.13371
0.23752,0.13410
0.23797,0.13448
0.23843,0.13488
0.23889,0.13527
0.23935,0.13567
0.23981,0.13607
0.24028,0.13647
0.24075,0.13687
0.24121,0.13728
0.24168,0.13769
0.24216,0.13810
0.24263,0.13851
0.24311,0.13892
0.24358,0.13934
0.24406,0.13976
0.24454,0.14018
0.24503,0.14061
0.24551,0.14103
0.24600,0.14146
0.24649,0.14189
0.24698,0.14233
0.24747,0.14276
0.24797,0.14320
0.24847,0.14364
0.24896,0.14409
0.24947,0.14453
0.24997,0.14498
0.25047,0.14544
0.25098,0.14589
0.25149,0.14634
0.25200,0.14680
0.25251,0.14726
0.25303,0.14773
0.25355,0.14820
0.25407,0.14867
0.25459,0.14914
0.25511,0.14962
0.25564,0.15010
0.25617,0.15058
0.25670,0.15106
0.25723,0.15155
0.25776,0.15204
0.25830,0.15253
0.25884,0.15303
0.25938,0.15353
0.25992,0.15403
0.26047,0.15453
0.26102,0.15504
0.26157,0.15555
0.26212,0.15606
0.26268,0.15658
0.26324,0.15710
0.26380,0.15763
0.26436,0.15816
0.26492,0.15868
0.26549,0.15922
0.26606,0.15975
0.26663,0.16029
0.26721,0.16083
0.26778,0.16138
0.26836,0.16193
0.26895,0.16248
0.26953,0.16304
0.27012,0.16360
0.27071,0.16416
0.27130,0.16473
0.27190,0.16530
0.27249,0.16588
0.27309,0.16645
0.27370,0.16703
0.27430,0.16762
0.27491,0.16821
0.27552,0.16880
0.27613,0.16939
0.27675,0.17000
0.27737,0.17060
0.27799,0.17121
0.27862,0.17182
0.27924,0.17243
0.27987,0.17305
0.28051,0.17367
0.28114,0.17430
0.28178,0.17493
0.28242,0.17557
0.28307,0.17621
0.28372,0.17686
0.28437,0.17750
0.28502,0.17816
0.28568,0.17881
0.28634,0.17947
0.28700,0.18014
0.28767,0.18081
0.28834,0.18148
0.28901,0.18216
0.28968,0.18284
0.29036,0.18353
0.29104,0.18422
