wl,n
0.1380,1.6370414813673
0.1599,1.5530600790728
0.1818,1.5144866720607
0.2036,1.4924069260915
0.2255,1.478136397727
0.2474,1.4682977782895
0.2693,1.4611733158061
0.2912,1.4558217701397
0.3130,1.451701963046
0.3349,1.448426463795
0.3568,1.4457854757204
0.3787,1.4436212235273
0.4006,1.4418226818622
0.4224,1.4403160507048
0.4443,1.4390285459721
0.4662,1.4379231385325
0.4881,1.4369657724368
0.5100,1.4361300234776
0.5318,1.4353982720045
0.5537,1.4347473372473
0.5756,1.4341674976206
0.5975,1.4336479633608
0.6194,1.4331799004394
0.6412,1.4327578624007
0.6631,1.4323719355828
0.6850,1.4320190724898
0.7069,1.4316949940006
0.7288,1.4313960738733
0.7506,1.4311204404109
0.7725,1.4308629277221
0.7944,1.4306225695339
0.8163,1.4303973959083
0.8382,1.4301856967442
0.8600,1.429986868312
0.8819,1.4297977871271
0.9038,1.429618246047
0.9257,1.4294472359537
0.9476,1.4292838650316
0.9694,1.4291280429726
0.9913,1.4289776398937
1.013,1.4288340586444
1.035,1.4286934677511
1.057,1.428557379519
1.079,1.4284253366671
1.101,1.4282969277129
1.123,1.4281717815609
1.144,1.4280550591169
1.166,1.4279353509879
1.188,1.4278180028987
1.210,1.4277027632126
1.232,1.4275894027644
1.254,1.4274777124881
1.276,1.427367501331
1.298,1.427258594417
1.320,1.4271508314248
1.341,1.4270488984962
1.363,1.4269429572179
1.385,1.4268377581151
1.407,1.4267331858389
1.429,1.4266291338913
1.451,1.4265255038182
1.473,1.4264222044879
1.495,1.4263191514431
1.516,1.4262209403216
1.538,1.4261181475067
1.560,1.4260153850948
1.582,1.4259125898582
1.604,1.4258097028733
1.626,1.4257066691709
1.648,1.4256034374189
1.670,1.4254999596346
1.691,1.4254009145985
1.713,1.4252968289235
1.735,1.4251923726
1.757,1.4250875085431
1.779,1.4249822019294
1.801,1.4248764200308
1.823,1.4247701320632
1.845,1.4246633090463
1.867,1.4245559236764
1.888,1.4244528712003
1.910,1.4243443136842
1.932,1.4242351218489
1.954,1.4241252739569
1.976,1.42401474945
1.998,1.4239035288713
2.020,1.4237915937929
2.042,1.423678926749
2.063,1.4235706828916
2.085,1.4234565381324
2.107,1.4233416148503
2.129,1.4232258988216
2.151,1.4231093765194
2.173,1.4229920350717
2.195,1.4228738622211
2.217,1.4227548462884
2.238,1.4226404434649
2.260,1.4225197480078
2.282,1.4223981780181
2.304,1.4222757237879
2.326,1.4221523760383
