wl,n
0.2000,2.3945
0.2180,2.263947897954
0.2360,2.1747284227151
0.2540,2.1116857520621
0.2720,2.0658457622185
0.2900,2.0316771905367
0.3080,2.0056503610883
0.3260,1.9854434496028
0.3440,1.9694877129438
0.3620,1.9566977070489
0.3800,1.94630623614
0.3980,1.9377605597011
0.4160,1.930655488814
0.4340,1.9246892873847
0.4520,1.9196340097464
0.4700,1.9153151763404
0.4880,1.9115976098888
0.5060,1.9083754098692
0.5240,1.9055647535301
0.5420,1.9030986573824
0.5600,1.9009231179717
0.5780,1.8989942359544
0.5960,1.8972760498765
0.6140,1.8957388881098
0.6320,1.8943581031962
0.6500,1.8931130912783
0.6680,1.8919865260908
0.6860,1.8909637558842
0.7040,1.8900323251209
0.7220,1.8891815924855
0.7400,1.8884024238046
0.7580,1.8876869436425
0.7760,1.8870283331737
0.7940,1.8864206647835
0.8120,1.8858587660003
0.8300,1.8853381069887
0.8480,1.8848547070712
0.8660,1.8844050567032
0.8840,1.8839860520561
0.9020,1.8835949399435
0.9200,1.8832292712648
0.9380,1.8828868614989
0.9560,1.8825657570566
0.9740,1.8822642065196
0.9920,1.8819806359747
1.010,1.8817136277901
1.028,1.8814619022959
1.046,1.8812243019249
1.064,1.8809997774422
1.082,1.8807873759555
1.100,1.8805862304487
1.118,1.8803955506198
1.136,1.8802146148421
1.154,1.8800427630935
1.172,1.8798793907221
1.190,1.8797239429383
1.208,1.8795759099366
1.226,1.8794348225671
1.244,1.879300248487
1.262,1.8791717887308
1.280,1.8790490746498
1.298,1.8789317651748
1.316,1.8788195443635
1.334,1.8787121191997
1.352,1.8786092176152
1.370,1.8785105867083
1.388,1.8784159911375
1.406,1.8783252116702
1.424,1.8782380438707
1.442,1.8781542969112
1.460,1.878073792493
1.478,1.877996363867
1.496,1.8779218549427
1.514,1.8778501194763
1.532,1.8777810203309
1.550,1.8777144288002
1.568,1.8776502239914
1.586,1.8775882922594
1.604,1.8775285266888
1.622,1.877470826619
1.640,1.8774150972074
1.658,1.8773612490291
1.676,1.877309197707
1.694,1.8772588635724
1.712,1.8772101713516
1.730,1.8771630498762
1.748,1.8771174318164
1.766,1.8770732534338
1.784,1.8770304543527
1.802,1.8769889773487
1.820,1.8769487681517
1.838,1.8769097752646
1.856,1.8768719497938
1.874,1.876835245292
1.892,1.8767996176122
1.910,1.8767650247718
1.928,1.8767314268256
1.946,1.8766987857479
1.964,1.8766670653225
1.982,1.8766362310397
2.000,1.87660625
