wl,n
0.1000,1.7406199572451
0.1048,1.6834139983328
0.1099,1.638294296569
0.1151,1.6032217735926
0.1207,1.5738538098248
0.1265,1.5498786030089
0.1326,1.5297248864232
0.1390,1.5126521818203
0.1457,1.4980910602085
0.1527,1.4855970955656
0.1600,1.4748189171756
0.1677,1.4653633565466
0.1758,1.4570578894579
0.1842,1.4498310562452
0.1931,1.4433824114258
0.2024,1.4376923876389
0.2121,1.4326629343474
0.2223,1.4281686766585
0.2331,1.4241196656072
0.2443,1.420539002676
0.2560,1.417339536832
0.2683,1.4144574087803
0.2813,1.4118452307758
0.2948,1.4095152786159
0.3090,1.4074062382895
0.3239,1.4054997889717
0.3394,1.4037881470184
0.3558,1.4022231904615
0.3729,1.4008116250748
0.3908,1.3995309582915
0.4097,1.3983576811449
0.4294,1.3972949477019
0.4500,1.3963269645573
0.4717,1.3954371729472
0.4944,1.3946232820616
0.5182,1.3938751451453
0.5431,1.393186874533
0.5693,1.392548043688
0.5967,1.3919565620771
0.6254,1.3914056261567
0.6555,1.39088932801
0.6870,1.3904039009369
0.7201,1.3899428885107
0.7547,1.3895044376157
0.7911,1.3890817293236
0.8291,1.3886741443711
0.8690,1.3882755406266
0.9109,1.3878823256309
0.9547,1.38749272024
1.001,1.3870988645337
1.049,1.3867048355479
1.099,1.386305185728
1.152,1.3858892858264
1.208,1.3854544868671
1.266,1.3850055914604
1.327,1.3845317789481
1.391,1.3840298108066
1.457,1.3835043044793
1.528,1.3829275811884
1.601,1.3823200378632
1.678,1.3816611201995
1.759,1.3809460205511
1.844,1.3801696255665
1.932,1.3793361806733
2.025,1.3784210863981
2.123,1.3774172195631
2.225,1.3763278932242
2.332,1.3751351077197
2.444,1.3738304252946
2.562,1.3723924636763
2.685,1.3708230972654
2.814,1.3690986199853
2.950,1.3671921330205
3.092,1.3651032412741
3.241,1.3628018502941
3.397,1.3602704180304
3.560,1.3574902023279
3.731,1.3544227905011
3.911,1.351024539264
4.099,1.3472866470278
4.296,1.3431593395734
4.503,1.3385859773714
4.720,1.3335259946004
4.947,1.3279351852666
5.185,1.3217385295995
5.435,1.3148502112639
5.696,1.3072319070531
5.971,1.2987177059569
6.258,1.2892795795097
6.559,1.2787507857781
6.875,1.2669724404623
7.206,1.2537999702397
7.552,1.2390677691341
7.916,1.2224428491454
8.297,1.2037211775157
8.696,1.1825580839043
9.115,1.1584738573375
9.553,1.1310642997166
10.01,1.0997664553249
10.49,1.0635531926719
11.00,1.0207778259866
